stadium_id,stadium,elevation_feet
PHI00,Lincoln Financial Field,33
SFO00,Candlestick Park,35
NAS00,Nissan Stadium,554
CHI98,Soldier Field,560
DAL00,AT&T Stadium,568
NYC01,MetLife Stadium,30
CIN00,Paycor Stadium,505
DET00,Ford Field,610
BAL00,M&T Bank Stadium,69
PHO00,State Farm Stadium,1060
SEA00,Lumen Field,46
STL00,Edward Jones Dome,456
GNB00,Lambeau Field,656
MIN00,Mall of America Field,817
NOR00,Caesars Superdome,98
BOS00,Gillette Stadium,272
ATL00,Georgia Dome,1050
CLE00,Cleveland Browns Stadium,640
PIT00,Acrisure Stadium,719
SDG00,Qualcomm Stadium,118
TAM00,Raymond James Stadium,46
JAX00,EverBank Stadium,20
MIA00,Hard Rock Stadium,10
BUF00,Highmark Stadium,764
IND00,Lucas Oil Stadium,709
OAK00,Oakland-Alameda County Stadium,13
HOU00,NRG Stadium,49
DEN00,Empower Field at Mile High,5280
CAR00,Bank of America Stadium,748
SFO01,Levi's Stadium,10
LON01,Twickenham Stadium,66
MIN01,U.S. Bank Stadium,843
LAX97,ROKiT Field - Dignity Health Sports Park,39
KAN00,GEHA Field at Arrowhead Stadium,896
LON00,Wembley Stadium,197
LAX99,Los Angeles Memorial Coliseum,177
BUF01,Rogers Centre,246
MEX00,Estadio Azteca (Mexico City),7218
MIN98,TCF Bank Stadium,840
ATL97,Mercedes-Benz Stadium,1040
LAX01,SoFi Stadium,148
VEG00,Allegiant Stadium,2188
LON02,Tottenham Hotspur Stadium,69
WAS00,Northwest Stadium,250
GER00,Allianz Arena,1614
CLE00,Huntington Bank Field,640
SAO00,Arena Corinthians,2598
FRA00,Frankfurt Stadium,367
